KPIElement_Time_elements_Actual_times_Actual_unit_busy_time_AUBT,6042,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_busy_time_AUBT_EngineeringUnits,6043,Variable
KPIElement_Time_elements_Planned_times_Planned_order_execution_time_POET,6044,Variable
KPIElement_Time_elements_Planned_times_Planned_order_execution_time_POET_EngineeringUnits,6045,Variable
KPIElement_Time_elements_Actual_times_Actual_personnel_attendance_time_APAT,6046,Variable
KPIElement_Time_elements_Actual_times_Actual_personnel_attendance_time_APAT_EngineeringUnits,6047,Variable
KPIElement_Time_elements_Actual_times_Actual_production__time_APT,6048,Variable
KPIElement_Time_elements_Actual_times_Actual_production__time_APT_EngineeringUnits,6049,Variable
KPIElement_Time_elements_Actual_times_Actual_queuing_time_AQT,6050,Variable
KPIElement_Time_elements_Actual_times_Actual_queuing_time_AQT_EngineeringUnits,6051,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_down_time_ADOT,6052,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_down_time_ADOT_EngineeringUnits,6053,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_delay_time_ADET,6054,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_delay_time_ADET_EngineeringUnits,6055,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_setup_time_AUST,6056,Variable
KPIElement_Time_elements_Actual_times_Actual_unit_setup_time_AUST_EngineeringUnits,6057,Variable
KPIElement_Time_elements_Actual_times_Actual_transport_time_ATT,6058,Variable
KPIElement_Time_elements_Actual_times_Actual_transport_time_ATT_EngineeringUnits,6059,Variable
KPIElement_Time_elements_Actual_times_Actual_order_execution_time_AOET,6060,Variable
KPIElement_Time_elements_Actual_times_Actual_order_execution_time_AOET_EngineeringUnits,6061,Variable
KPIElement_Time_elements_Planned_times_Planned_operation_time_POT,6062,Variable
KPIElement_Time_elements_Planned_times_Planned_operation_time_POT_EngineeringUnits,6063,Variable
KPIElement_Time_elements_Planned_times_Planned_unit_setup_time_PUST,6064,Variable
KPIElement_Time_elements_Planned_times_Planned_unit_setup_time_PUST_EngineeringUnits,6065,Variable
KPIElement_Time_elements_Planned_times_Planned_busy_time_PBT,6066,Variable
KPIElement_Time_elements_Planned_times_Planned_busy_time_PBT_EngineeringUnits,6067,Variable
KPIElement_Time_elements_Planned_times_Planned_run_time_per_item_PRI,6068,Variable
KPIElement_Time_elements_Planned_times_Planned_run_time_per_item_PRI_EngineeringUnits,6069,Variable
KPIElement_Time_elements_Maintenance_times_Time_between_failures_TBF,6070,Variable
KPIElement_Time_elements_Maintenance_times_Time_between_failures_TBF_EngineeringUnits,6071,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_repair_TTR,6072,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_repair_TTR_EngineeringUnits,6073,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_failure_TTF,6074,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_failure_TTF_EngineeringUnits,6075,Variable
KPIElement_Time_elements_Maintenance_times_Failure_event_count_FE,6076,Variable
KPIElement_Time_elements_Maintenance_times_Failure_event_count_FE_EngineeringUnits,6077,Variable
KPIElement_Time_elements_Maintenance_times_Corrective_maintenance_time_CMT,6078,Variable
KPIElement_Time_elements_Maintenance_times_Corrective_maintenance_time_CMT_EngineeringUnits,6079,Variable
KPIElement_Time_elements_Maintenance_times_Preventive_maintenance_time_PMT,6080,Variable
KPIElement_Time_elements_Maintenance_times_Preventive_maintenance_time_PMT_EngineeringUnits,6081,Variable
KPIElement_Time_elements_Planned_times_Planned_busy_time_PBT_Definition,6082,Variable
KPIElement_Time_elements_Planned_times_Planned_operation_time_POT_Definition,6083,Variable
KPIElement_Time_elements_Planned_times_Planned_order_execution_time_POET_Definition,6084,Variable
KPIElement_Time_elements_Planned_times_Planned_run_time_per_item_PRI_Definition,6085,Variable
KPIElement_Time_elements_Planned_times_Planned_unit_setup_time_PUST_Definition,6086,Variable
KPIElement_Time_elements_Maintenance_times_Corrective_maintenance_time_CMT_Definition,6087,Variable
KPIElement_Time_elements_Maintenance_times_Time_between_failures_TBF_Definition,6088,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_repair_TTR_Definition,6089,Variable
KPIElement_Time_elements_Maintenance_times_Time_to_failure_TTF_Definition,6090,Variable
KPIElement_Time_elements_Maintenance_times_Failure_event_count_FE_Definition,6091,Variable
KPIElement_Time_elements_Maintenance_times_Preventive_maintenance_time_PMT_Definition,6092,Variable
KPIElement_Time_elements_Actual_times_Actual_order_execution_time_AOET_Definition,6093,Variable
KPIElement_Time_elements_Actual_times_Actual_personnel_attendance_time_APAT_Definition,6094,Variable
