KPIElements_Logistical_elements_Production_loss,6079,Variable
KPIElements_Logistical_elements_Storage_and_transportation_loss,6080,Variable
KPIElements_Logistical_elements_Other_loss,6081,Variable
KPIElements_Logistical_elements_Equipment_production_capacity,6082,Variable
KPIElements_Quality_elements_Good_part,6083,Variable
KPIElements_Quality_elements_Inspected_part,6084,Variable
KPIElements_Quality_elements_Upper_specification_limit,6085,Variable
KPIElements_Quality_elements_Lower_specification_limit,6086,Variable
KPIElements_Quality_elements_2_Arithmetic_average,6087,Variable
KPIElements_Quality_elements_2_Average_of_average_values,6088,Variable
KPIElements_Quality_elements_2_Estimated_deviation,6089,Variable
KPIElements_Quality_elements_2_Standard_deviation,6090,Variable
KPIElements_Quality_elements_2_Variance,6091,Variable
